Name|Description|Rarity
Eternal Lantern|A lantern that shines without the need for oil|1
Sword of Destiny|A sword that vibrates when danger is near|3
Invisibility Hat|A hat that makes you invisible when worn|4
Scroll of Truth|A scroll that reveals lies when read aloud|3
Leap Ring|A ring that allows the wearer to jump three times the normal distance|2
Starry Cloak|A cloak that shines like a night sky full of stars|3
Spell Wand|A wand capable of casting a spell of your choice once a day|2
Helm of Intuition|A helmet that enhances the wearer's perception|1
Dragon Shield|A shield forged from the scales of a dragon|4
Return Stone|A stone that allows the user to teleport back to their starting point|3
Thief's Gloves|Gloves that increase dexterity in stealth activities|2
Djinn Bottle|A bottle that, when opened, summons a Djinn|5
Amulet of Health|An amulet that increases the user's constitution|2
Pathwalker Boots|Boots that allow you to walk on any surface|2
Command Necklace|A necklace that allows you to influence others with your words|3
Night Vision Glasses|Glasses that allow you to see in the dark as if it were daylight|1
Book of Shadows|A book containing ancient and forgotten secrets|4
Flask of Fire|A flask that sprays flames when opened|5
Giant's Ring|A ring that grants superhuman strength to the wearer|5
Time Medallion|A medallion that can slow down or speed up time|5
