Name|Description
investigator|Source: Unearthed Arcana 38 - Feats for SkillsYou have an eye for detail and can pick out the smallest clues. You gain the following benefits:Increase your Intelligence score by 1, to a maximum of 20.You gain proficiency in the Investigation skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.You can take the Search action as a bonus action.
keenness-of-the-stone-giant-ua|Source: Unearthed Arcana 83 - Giant OptionsPrerequisite: 4th LevelYou’ve manifested the protection and spellcasting emblematic of stone giants, granting you the following benefits:Dreamer’s Magic.You learn theDetect Thoughtsspell and one 1st-level spell of your choice. The 1st-level spell must be from theabjurationor thedivinationschool of magic. You can cast each of these spells without expending a spell slot. Once you cast either of these spells in this way, you can’t cast that spell in this way again until you finish a long rest. You can also cast these spells using spell lots you have of the appropriate level. Intelligence, Wisdom, or Charisma is your spellcasting ability for this feature (choose when you gain this feat).Mountain Sight.You gain darkvision out to a range of 60 feet. If you already have darkvision from another source, its range increases by 30 feet.
keenness-of-the-stone-giant-revised-ua|Source: Unearthed Arcana 85 - Wonders of the MultiversePrerequisite: 4th Level,Strike of the Giants(Stone Giant) FeatYou’ve manifested the physical talents emblematic of stone giants, granting you the following benefits:Ability Score Increase.Increase your Strength, Constitution, or Wisdom score by 1, to a maximum of 20.Stone Throw.As a bonus action, you can touch a rock that can fit in the palm of your hand and imbue it with magic. While the rock is imbued with magic and you are wielding it, the rock is a magic ranged weapon with which you’re proficient, and it has the thrown property with a normal range of 60 feet and a long range of 180 feet. On a hit, the rock deals 1d10 bludgeoning damage, and if the target is a creature, it must succeed on a Strength saving throw (DC equals 8 + your proficiency bonus + the modifier of the ability increased by this feat) or be knocked prone. The magic remains in the rock until you hit with it or finish a long rest. You can imbue a number of rocks equal to your proficiency bonus with this bonus action, and you regain all expended uses when you finish a long rest.Cavernous Sight.You gain darkvision out to a range of 60 feet. If you already have darkvision from another source, its range increases by 60 feet.
knight-of-the-crown-ua|Source: Unearthed Arcana 81 - Heroes of KrynnPrerequisite: 4th Level, Squire of Solamnia FeatYou are a Knight of Solamnia aligned with the Order of the Crown, a group that extols the virtues of cooperation, loyalty, and obedience. You excel in group combat and gain these benefits:Ability Score Increase.Increase your Strength or Dexterity score by 1, to a maximum of 20.Tactical Teamwork.When a creature you can see within 30 feet of you makes an attack roll against another creature that is within 5 feet of you, you can use your reaction to grant advantage on the attack roll. You can use this reaction a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
knight-of-the-sword-ua|Source: Unearthed Arcana 81 - Heroes of KrynnPrerequisite: 4th Level, Squire of Solamnia FeatYou are a Knight of Solamnia aligned with the Order of the Sword, a group devoted to heroism and courage. Bravery steels your spirit, granting you these benefits:Disciplined Spirit.You gain proficiency in Intelligence, Wisdom, or Charisma saving throws (your choice when you take this feat).Willpower.Immediately after you or a creature you can see within 30 feet of you fail an Intelligence, Wisdom, or Charisma saving throw, you can expend a Hit Die. The saving throw increases by an amount equal to a roll of that Hit Die, potentially turning a failure into a success. Once you turn a failed saving throw into a successful one using this feat, you can’t do so again until you finish a long rest.
knight-of-the-rose-ua|Source: Unearthed Arcana 81 - Heroes of KrynnPrerequisite: 4th Level, Squire of Solamnia FeatYou are a Knight of Solamnia aligned with the Order of the Rose, a group known for leadership, justice, and wisdom. Your resolve grants you these benefits:Ability Score Increase.Increase your Constitution or Charisma score by 1, to a maximum of 20.Bolstering Rally.When you roll initiative, you can choose up to three other creatures you can see within 30 of you. Each creature can gain temporary hit points equal to a roll of your Hit Die + your proficiency bonus + the ability modifier of the ability score increased by this feat. You can use this feature a number of times equal to your proficiency bonus, and you regain all expended uses when you finish a long rest.
master-of-disguise|Source: Unearthed Arcana 15 - FeatsYou have honed your ability to shape your personality and to read the personalities of others. You gain the following benefits:Increase your Charisma score by 1, to a maximum of 20.You gain proficiency with the disguise kit. If you are already proficient with it, you add double your proficiency bonus to checks you make with it.If you spend 1 hour observing a creature, you can then spend 8 hours crafting a disguise you can quickly don to mimic that creature. Making the disguise requires a disguise kit. You must make checks as normal to disguise yourself, but you can assume the disguise as an action.
medic|Source: Unearthed Arcana 38 - Feats for SkillsYou master the physician's arts, gaining the following benefits:Increase your Wisdom score by 1, to a maximum of 20.You gain proficiency in the Medicine skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.During a short rest, you can clean and bind the wounds of up to six willing beasts and humanoids. Make a DC 15 Wisdom (Medicine) check for each creature. On a success, if a creature spends a Hit Die during this rest, that creature can forgo the roll and instead regain the maximum number of hit points the die can restore. A creature can do so only once per rest, regardless of how many Hit Dice it spends.
menacing|Source: Unearthed Arcana 38 - Feats for SkillsYou become fearsome to others, gaining the following benefits:Increase your Charisma score by 1, to a maximum of 20.You gain proficiency in the Intimidation skill. If you are already proficiency in the skill, you add double your proficiency bonus to checks you make with it.When you take the Attack action on your turn, you can replace one attack with an attempt to demoralize one humanoid you can see within 30 feet of you that can see and hear you. Make a Charisma (Intimidation) check contested by the target's Wisdom (Insight) check. If your check succeeds, the target is frightened until the end of your next turn. If your check fails, the target can't be frightened by you in this way for 1 hour.
metabolic-control|Source: Unearthed Arcana 71 - Psionic Options RevisitedPrerequisite: Psionic Talent feature or Wild Talent featYou have refined psionic control over your body’s functions. You gain the following benefits:Increase your Strength, Dexterity, or Constitution score by 1, to a maximum of 20.If your Psionic Talent die is available, you can take an action to channel your psionic power to nourish yourself for the next 24 hours, as if you consumed sufficient food and water for a day. When you take this action, your Psionic Talent die decreases by one die size.If your Psionic Talent die is available, you can meditate for 1 minute, at the end of which you gain the benefits of finishing a short rest, and your Psionic Talent die decreases by one die size. You can’t meditate in this way again until you finish a long rest.
naturalist|Source: Unearthed Arcana 38 - Feats for SkillsYour extensive study of nature rewards you with the following benefits:Increase your Intelligence score by 1, to a maximum of 20.You gain proficiency in the Nature skill. If you are already proficient in the skill, you add double your proficiency bonus to checks you make with it.You learn theDruidcraftandDetect Poison and Diseasespells. You can cast detect poison and disease once without expending a spell slot, and you regain the ability to do so when you finish a long rest.
