Name|Price|Description|Rarity
Club|1 sp|1d4 Bludgeon - 2 lb. - Light|16
Dagger|2 gp|1d4 Piercing - 1 lb. - Finesse Light Thrown (20/60)|15
Greatclub|2 sp|1d8 Bludgeon - 10 lb. - Two-handed|13
Handaxe|5 gp|1d6 Slashing - 2 lb. - Light Thrown (20/60)|15
Javelin|5 sp|1d6 Piercing - 2 lb. - Thrown (30/120)|15
Light hammer|2 gp|1d4 Bludgeon - 2 lb. - Light Thrown (20/60)|14
Mace|5 gp|1d6 Bludgeon - 5 lb. - -|15
Quarterstaff|2 sp|1d6 Bludgeon - 5 lb. - Versatile (1d8)|16
Sickle|1 gp|1d4 Slashing - 2 lb. - Light|16
Spear|1 gp|1d6 Piercing - 3 lb. - Thrown (20/60) Versatile (1d8)|14
Crossbow light|25 gp|1d6 Piercing - 5 lb. - Ammunition (80/320) Loading Two-handed|16
Dart|5 cp|1d4 Piercing - .25 lb. - Finesse Thrown (20/60)|14
Shortbow|25 gp|1d6 Piercing - 2 lb. - Ammunition (80/320) Two-handed|15
Sling|1 sp|1d4 Bludgeon - - - Ammunition (30/120)|15
Battleaxe|10 gp|1d8 Slashing - 4 lb. - Versatile (1d10)|15
Flail|10 gp|1d8 Bludgeon - 2 lb. - -|16
Glaive|20 gp|1d10 Slashing - 6 lb. - Heavy Reach Two-handed|14
Greataxe|30 gp|1d12 Slashing - 7 lb. - Heavy Two-handed|15
Greatsword|50 gp|2d6 Slashing - 6 lb. - Heavy Two-handed|14
Halberd|20 gp|1d10 Slashing - 6 lb. - Heavy Reach Two-handed|13
Lance|10 gp|1d12 Piercing - 6 lb. - Reach Special|16
Longsword|15 gp|1d8 Slashing - 3 lb. - Versatile (1d10)|15
Maul|10 gp|2d6 Bludgeon - 10 lb. - Heavy Two-handed|14
Morningstar|15 gp|1d8 Piercing - 4 lb. - -|15
Pike|5 gp|1d10 Piercing - 18 lb. - Heavy Reach Two-handed|15
Rapier|25 gp|1d8 Piercing - 2 lb. - Finesse|14
Scimitar|25 gp|1d6 Slashing - 3 lb. - Finesse Light|16
Shortsword|10 gp|1d6 Slashing - 2 lb. - Finesse Light|16
Trident|5 gp|1d6 Piercing - 5 lb. - Thrown (20/60) Versatile (1d8)|16
War pick|5 gp|1d8 Piercing - 2 lb. - -|14
Warhammer|15 gp|1d8 Bludgeon - 2 lb. - Versatile (1d10)|14
Whip|2 gp|1d4 Slashing - 3 lb. - Finesse Reach|15
Blowgun|10 gp|1 Piercing - 1 lb. - Ammunition (25/100) Loading|16
Crossbow hand|75 gp|1d6 Piercing - 3 lb. - Ammunition (30/120) Loading Light|14
Crossbow heavy|50 gp|1d10 Piercing - 18 lb. - Ammunition (100/400) Loading Two-handed Heavy|15
Longbow|50 gp|1d8 Piercing - 2 lb. - Ammunition (150/600) Heavy Two-handed|13
Net|1 gp|- - 3 lb. - Special Thrown (5/15)|14
Padded|5 gp||14
Leather|10 gp||13
Studded Leather|45 gp||13
Hide|10 gp||13
Chain Shirt|50 gp||16
Scail Mail|50 gp||14
Breastplate|400 gp||16
Half Plate|750 gp||13
Ring Mail|30 gp||13
Chain Mail|75 gp|16 - 55 lb. - Strength require  13|15
Splint|200 gp|17 - 60 lb. - Strength require  15|14
Plate|1500 gp|18 - 65 lb. - Strength require  15|13
Abacus|2 gp||16
Acid (vial)|25 gp||14
Alchemist's Fire (flask)|50 gp||13
Arrows (20)|1 gp||13
Blowgun Needle (50)|1 gp||13
Crossbow Bolts (20)|1 gp||15
Sling Bullets (20)|4 cp||14
Crystal|10 gp||13
Orb|20 gp||15
Rod|10 gp||15
Staff|5 gp||14
Wand|10 gp||15
Backpack|2 gp||16
Ball Bearings (bag of 1000)|1 gp||16
Barrel|2 gp||13
Basket|4 sp||13
Bedroll|1 gp||16
Bell|1 gp||13
Blanket|5 sp||13
Block and Tackle|1 gp||14
Book|25 gp||15
Bottle Glass|2 gp||13
Bucket|5 cp||16
Caltrops (bag of 20)|1 gp||13
Candle|1 cp||15
Case Crossbow Bolt|1 gp||16
Case Map and Scroll|1 gp||13
Chain (10ft)|5 gp||15
Chalk (1 piece)|1 cp||14
Chest|5 gp||14
Climber's kit|25 gp||16
Clothes Common|5 sp||13
Clothes Costume|5 gp||14
Clothes Fine|15 gp||14
Clothes Traveler's|2 gp||16
Component Pouch|25 gp||15
Crowbar|2 gp||14
Sprig of Mistletoe|1 gp||15
Totem|1 gp||15
Wooden Staff|5 gp||14
Yew Wand|10 gp||14
Flask or Tankard|1 gp||14
Flask or Tankard|2 cp||15
Grappling Hook|2 gp||16
Hammer|1 gp||15
Hammer Sledge|2 gp||13
Healer's kit|5 gp||16
Amulet |5 gp||15
Emblem | 5 gp||15
Reliquary |5 gp||13
Holy water (flask)|25 gp||13
Hourglass |25 gp||13
Hunting Trap|5 gp||15
Ink (1 ounce bottle)|10 gp||13
Ink pen|2 cp||15
Jug or pitcher|2 cp||13
Ladder (10-foot)|1 sp||14
Lamp|5 sp||15
Lantern Bullseye|10 gp||15
Lantern hooded|5 gp||13
Lock|10 gp||15
Magnifying glass|100 gp||14
Manacles|2 gp||14
Mess ki|2 sp||16
Mirror steel|5 gp||14
Oil (flask)|1 sp||15
Paper (one sheet)|2 sp||15
Parchment (one sheet)|1 sp||13
Perfume (vial)|5 gp||15
Pick miner's|2 gp||13
Piton|5 cp||13
Poison basic (vial)|100 gp||15
Pole (10-foot)|5 cp||14
Pot iron|2 gp||15
Potion of healing|50 gp||16
Pouch|5 sp||16
Quiver|1 gp||15
Ram portable|4 gp||13
Rations (l day)|5 sp||16
Robes|1 gp||15
Rope hempen (50 feet)|1 gp||15
Rope silk (50 feet)|10 gp||14
Sack|1 cp||13
Scale merchant's|5 gp||14
Sealing wax|5 sp||14
Shovel|2 gp||13
Signal whistle|5 cp||16
Signe! ring|5 gp||16
Soap|2 cp||15
Spellbook|50 gp||15
