d20/d100|1-3/Extreme|4-9/Moderate|10-20/Nuisance
1|A fireball explodes with you at the center. You and each creature within 20 feet of you who must make a Dexterity saving throw using your spell save DC, taking 5d6 fire damage on a failed save, or half as much damage on a successful one.|For the next day, your skin tone changes color every 30 minutes, cycling through the colors of the rainbow.|A puddle of grease appears where you are standing, with a 10-foot radius. You and anyone within 10 feet of you must make a Dexterity check at your spell save DC or fall prone.
2|You recover all your expended spell slots.|You are confused for 1 minute, as though you were affected by the confusion spell.|You levitate 6 inches off the ground for 1 minute.
3|You lose the ability to hear for 1 day.|Your Strength is increased by 2 for 1 day.|You gain tremorsense with a range of 30 feet for 1 minute.
4|Each creature within 30 feet of you takes 1d10 necrotic damage. You regain hit points equal to the sum of damage dealt.|A third eye appears in your forehead, giving you advantage on sight-based Wisdom (Perception) checks for 1 minute.|You make no sounds for 1 minute and you gain advantage on any Dexterity (Stealth) checks.
5|You teleport to an alternate plane, then return to the location where you started after 1 minute.|The next spell you cast within the next minute that does damage, the damage is maximized.|You grow a beard made of feathers, which remains until you sneeze.
6|You transform into a large empty barrel for 1 minute, during which time you considered petrified.|For the next minute, you can teleport up to 20 feet as part of your movement on each of your turns.|You can't speak for 1 minute. When you try, pink bubbles float out of your mouth.
7|You are at the center of a darkness spell for 1 minute.|You become intoxicated for 2d6 hours.|You are immune to intoxication for the next 5d6 days.
8|You are frightened by the nearest creature until the end of your next turn.|Your Intelligence is decreased by 2 for 1 day.|You recover your lowest-level expended spell slot.
9|You are resistant to all damage types for 1 minute.|Your Wisdom is increased by 2 for 1 day.|For the next minute, you must shout when you speak.
10|A random creature within 60 feet of you is poisoned for 1d4 hours.|For 1 minute, any flammable item you touch, that you aren't already wearing or carrying, bursts into flame.|Illusory butterflies and flower petals flutter in the air around you in a 10-foot radius for 1 minute.
11|Make a Wisdom saving throw against your own spell save DC. If you fail, you are polymorphed into giant dragonfly for 1 minute.|Plants grow around you and you are restrained for 1 minute.|You cast mirror image on yourself, which lasts for 1 minute and does not require concentration.
12|Up to three creatures you choose within 30 feet of you take 4d10 lightning damage.|A random creature within 30 feet of you gains a flying speed equal to its walking speed for 1 minute.|You are surrounded by faint, ethereal music for 1 minute.
13|You immediately gain 20 temporary hit points.|You may immediately take 1 additional action.|You regain all expended sorcery points.
14|You teleport up to 60 feet to an unoccupied space that you can see.|If you fall within the next day, you automatically have the benefit of the feather fall spell.|Your hair grows to double its current length over the next minute.
15|You are the center of a silence spell for 1 minute.|You recover 1 expended spell slot of your choice.|Your hair falls out but grows back within 1 day.
16|You are vulnerable to fiends for 1 hour. Such creatures gain advantage on attack rolls made against you.|For the next spell you cast within 1 minute that does damage, the damage is minimized.|You gain the ability to speak one additional language of your choice for 1 hour.
17|For the next day, any time you make an ability check, roll 1d6 and subtract the result.|You have are surrounded by a spectral shield for 1 minute, giving you a +2 bonus to your AC and immunity to magic missile.|You are invisible for 1 minute.
18|For any spell that requires a saving throw you cast within the next minute, the target gains advantage.|You and all creatures within 30 feet of you gain vulnerability to piercing damage for 1 minute.|Your eyes permanently change color. If they are a blue or grey shade, they turn dark brown, or vice versa. A spell such as remove curse can end this effect.
19|The next single target spell you cast within the next minute must target one additional target.|For 1 minute, you gain resistance to nonmagical bludgeoning, piercing, and slashing damage.|Small birds flutter and chirp in your vicinity for 1 minute, during which time you automatically fail any Stealth check.
20|A demon whose CR is equal to your level appears near you. Make a Charisma saving throw against your spell save DC. If you make it, the demon is subservient, otherwise, it is hostile. The demon, if not banished or defeated, vanishes after 1 day.|You are protected from Elementals for 1 hour. Such creatures cannot attack you or harm you unless they succeed on a Charisma saving throw against your spell save DC.|You feel the incredible urge to relieve yourself. Until you do, your Strength and Intelligence are reduced by 1. If you don't relieve yourself in the next 2 minutes, the above effects are removed, but your Charisma score is reduced by 4 for 1 hour or until you change your trousers.
21|For the next minute, every creature within 60 feet of you that hears you speak only hears insults as if you are casting vicious mockery at first level.|For the next minute, one creature of your choice gets a -2 penalty to its AC, attack rolls, and damage rolls.|Gnats buzz around your head for 1 minute, distracting you. You must make a Constitution saving throw against your own spell save DC to cast any spell.
22|For the next day, you have advantage on the next 2d6 rolls you make where you don't already have advantage.|You and all creatures within 30 feet of you gain vulnerability to bludgeoning damage for 1 minute.|You are surrounded by a faint, offensive odor for 1 minute. You gain disadvantage on all Charisma checks.
23|You are protected from Aberrations for 1 day. Such creatures cannot attack you or harm you unless they save a Charisma saving throw against your spell save DC.|You emanate light in a 30-foot radius for 1 minute. Any creature within 5 feet of you that can see is blinded until the end of its next.|For the next minute, all spells with a casting time of 1 action or 1 bonus action require 2 consecutive actions to cast.
